,ID,Team1Won,Season,Date,Team1,Team2,Home,Team1Pts,Team2Pts,Team1PtDiff,Team2PtDiff,Team1TM,Team2TM,Team1Rating,Team2Rating,Team1Sks,Team2Sks,Team1SkYds,Team2SkYds,Team1RushAtt,Team2RushAtt,Team1RushYds,Team2RushYds,Team1RYM,Team2RYM,Team1PYM,Team2PYM,Team1YM,Team2YM
135,1207,False,2022,2022-11-07,NOR,BAL,1,13,27,-14,14,-1,1,85.8,87.5,4,3,28,2,15,40,48,188,-140,140,64,-64,-76,76
136,1205,False,2022,2022-11-10,ATL,CAR,0,15,25,-10,10,-1,1,89.0,80.5,5,1,33,7,25,47,138,232,-94,94,52,-52,-42,42
137,1181,False,2022,2022-11-13,BUF,MIN,1,30,33,-3,3,-2,2,78.6,69.9,2,4,19,23,27,25,175,147,28,-28,-23,23,5,-5
138,1183,False,2022,2022-11-13,CHI,DET,1,30,31,-1,1,-1,1,99.4,112.3,3,2,17,8,35,31,258,95,163,-163,-78,78,85,-85
139,1185,False,2022,2022-11-13,DAL,GNB,0,28,31,-3,3,0,0,78.6,143.3,2,2,3,16,31,39,159,207,-48,48,54,-54,6,-6
140,1187,False,2022,2022-11-13,JAX,KAN,0,17,27,-10,10,3,-3,106.1,129.6,5,0,19,0,16,27,75,155,-80,80,-91,91,-171,171
141,1191,False,2022,2022-11-13,HOU,NYG,0,16,24,-8,8,-2,2,85.3,148.2,4,3,33,21,19,47,101,191,-90,90,110,-110,20,-20
142,1189,False,2022,2022-11-13,CLE,MIA,0,17,39,-22,22,-1,1,89.2,134.3,3,1,27,6,24,33,112,195,-83,83,-111,111,-194,194
143,1195,False,2022,2022-11-13,NOR,PIT,0,10,20,-10,10,-2,2,60.7,74.6,2,6,17,37,15,43,29,217,-188,188,-5,5,-193,193
144,1203,False,2022,2022-11-13,SEA,TAM,0,16,21,-5,5,1,-1,115.1,93.5,3,0,31,0,14,44,39,161,-122,122,-14,14,-136,136
145,1201,False,2022,2022-11-13,LAC,SFO,0,16,22,-6,6,0,0,69.2,92.9,3,1,9,10,16,41,51,157,-106,106,-43,43,-149,149
146,1193,False,2022,2022-11-13,DEN,TEN,0,10,17,-7,7,0,0,70.1,92.8,6,1,38,11,25,23,65,63,2,-2,4,-4,6,-6
147,1197,True,2022,2022-11-13,IND,LVR,0,25,20,5,-5,-1,1,109.5,97.7,1,2,14,16,30,24,207,77,130,-130,-24,24,106,-106
148,1199,True,2022,2022-11-13,ARI,LAR,0,27,17,10,-10,2,-2,96.5,77.5,2,3,18,19,26,20,78,66,12,-12,30,-30,42,-42
149,1179,False,2022,2022-11-14,PHI,WAS,1,21,32,-11,11,-2,2,94.2,62.1,1,3,5,33,20,49,94,152,-58,58,-8,8,-66,66
150,1177,False,2022,2022-11-17,GNB,TEN,1,17,27,-10,10,1,-1,94.7,132.8,1,3,12,17,19,32,56,88,-32,32,-105,105,-137,137
151,1153,True,2022,2022-11-20,ATL,CHI,1,27,24,3,-3,-1,1,100.2,79.1,0,4,0,25,33,41,149,160,-11,11,3,-3,-8,8
152,1155,True,2022,2022-11-20,BUF,CLE,1,31,23,8,-8,1,-1,100.4,115.5,2,1,11,8,33,26,171,80,91,-91,-130,130,-39,39
153,1157,False,2022,2022-11-20,IND,PHI,1,16,17,-1,1,1,-1,89.7,104.2,4,3,28,17,26,33,99,141,-42,42,12,-12,-30,30
154,1159,False,2022,2022-11-20,DEN,LVR,1,16,22,-6,6,0,0,99.8,105.5,3,1,21,9,28,24,94,109,-15,15,-72,72,-87,87
155,1161,False,2022,2022-11-20,HOU,WAS,1,10,23,-13,13,-2,2,46.1,77.9,5,0,42,0,16,40,21,153,-132,132,-64,64,-196,196
156,1165,True,2022,2022-11-20,NOR,LAR,1,27,20,7,-7,0,0,143.2,101.5,4,4,39,35,24,30,88,148,-60,60,47,-47,-13,13
157,1167,True,2022,2022-11-20,NWE,NYJ,1,10,3,7,-7,0,0,104.6,48.7,6,4,48,33,26,23,99,59,40,-40,154,-154,194,-194
158,1171,True,2022,2022-11-20,CIN,PIT,0,37,30,7,-7,-2,2,104.1,84.3,2,2,9,16,24,24,62,102,-40,40,97,-97,57,-57
159,1173,False,2022,2022-11-20,CAR,BAL,0,3,13,-10,10,-2,2,54.6,74.4,4,3,27,16,17,30,36,115,-79,79,-24,24,-103,103
160,1175,True,2022,2022-11-20,KAN,LAC,0,30,27,3,-3,1,-1,120.8,109.0,1,5,7,30,27,30,163,115,48,-48,72,-72,120,-120
161,1163,True,2022,2022-11-20,DAL,MIN,0,40,3,37,-37,1,-1,131.5,64.6,0,7,0,49,40,17,151,73,78,-78,197,-197,275,-275
162,1169,True,2022,2022-11-20,DET,NYG,0,31,18,13,-13,3,-3,83.0,72.5,0,2,0,17,37,26,160,89,71,-71,-159,159,-88,88
